Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
ST004D01T,Tabula,categorical,,,,"1: 49.9%, 2: 50.1%",1.000
ST268Q01JA,Tabula,ordinal,,,,"1: 6.5%, 2: 23.9%, 3: 42.2%, 4: 27.3%",1.000
SC064Q02TA,Tabula,ordinal,,,,"10.0: 1.0%, 20.0: 7.9%, 30.0: 6.1%, 50.0: 4.9%, 70.0: 4.6%, 75.0: 1.6%, 80.0: 2.2%, 90.0: 10.5%, 98.0: 3.0%, 100.0: 58.2%",1.000
IMMIG,Tabula,categorical,,,,"1: 76.1%, 2: 6.6%, 3: 17.3%",1.000
SC064Q07WA,Tabula,ordinal,,,,"1.0: 16.7%, 2.0: 12.8%, 3.0: 10.2%, 4.0: 3.8%, 4.5: 0.0%, 5.0: 7.6%, 6.0: 5.6%, 7.0: 4.2%, 8.0: 0.0%, 10.0: 12.5%, 15.0: 4.9%, 16.0: 2.8%, 16.8: 0.0%, 20.0: 0.0%, 30.0: 1.0%, 48.0: 11.5%, 100.0: 6.2%",0.999
ST001D01T,Tabula,categorical,,,,"8: 0.1%, 9: 4.2%, 10: 95.3%, 11: 0.3%",1.000
SC064Q06WA,Tabula,ordinal,,,,"3.0: 3.1%, 4.0: 6.6%, 10.0: 12.8%, 15.0: 4.8%, 20.0: 16.5%, 25.0: 0.0%, 28.0: 0.0%, 30.0: 1.1%, 33.0: 5.5%, 50.0: 4.2%, 70.0: 6.5%, 80.0: 13.1%, 90.0: 5.4%, 100.0: 20.4%",0.999
AGE,TapTap,continuous,15.751 ± 0.276,15 to 16,0.896,,
ESCS,TapTap,continuous,0.489 ± 0.774,-2 to 1,1.000,,
PV1MATH,TapTap,continuous,590.659 ± 98.984,206 to 816,0.999,,
PV2MATH,TapTap,continuous,589.586 ± 100.931,209 to 878,0.999,,
PV3MATH,TapTap,continuous,589.860 ± 98.840,282 to 838,0.999,,
PV4MATH,TapTap,continuous,587.169 ± 101.950,203 to 833,1.000,,
PV5MATH,TapTap,continuous,588.334 ± 101.696,206 to 850,0.998,,
PV6MATH,TapTap,continuous,590.330 ± 99.418,258 to 851,1.000,,
PV7MATH,TapTap,continuous,592.304 ± 101.070,231 to 881,0.998,,
PV8MATH,TapTap,continuous,592.067 ± 101.078,211 to 832,0.997,,
PV9MATH,TapTap,continuous,590.675 ± 99.640,269 to 883,0.999,,
PV10MATH,TapTap,continuous,592.065 ± 98.874,238 to 817,1.000,,
SCHSIZE,TapTap,continuous,1268.993 ± 702.869,63 to 4019,0.966,,
MCLSIZE,TapTap,continuous,29.974 ± 7.988,18 to 37,1.000,,
SC064Q03TA,TapTap,ordinal,,,,"1.000740568: 7.1%, 1.999663259: 27.5%, 2.99858595: 3.8%, 5.003416807: 38.1%, 5.701964143: 0.0%, 6.002339498: 3.5%, 9.998030263: 8.5%, 15.99855189: 2.0%, 16.00064753: 0.0%, 20.00122812: 6.1%, 29.99744051: 3.4%",0.000
SC064Q01TA,TapTap,ordinal,,,,"3.995737376: 3.7%, 4.992090109: 8.6%, 6.005922715: 7.7%, 9.991333646: 14.5%, 15.00805706: 11.4%, 20.00730059: 29.1%, 25.00654413: 3.0%, 30.00578767: 7.1%, 34.00867847: 4.7%, 39.95707909: 0.0%, 40.00427474: 3.3%, 69.99973596: 6.8%",0.000
SC064Q04NA,TapTap,ordinal,,,,"0.556710048: 0.0%, 0.996883533: 4.1%, 2.002055821: 16.6%, 3.000658355: 16.3%, 3.046646629: 0.0%, 3.999260889: 3.8%, 4.032109656: 0.0%, 4.997863423: 23.4%, 6.00303571: 3.6%, 8.000240778: 2.3%, 9.997445846: 11.3%, 14.99702827: 10.0%, 20.00318045: 6.2%, 25.77799379: 0.0%, 26.0013654: 2.3%",0.000
MISCED,TapTap,ordinal,,,,"1: 0.5%, 2: 0.8%, 3: 2.1%, 4: 15.6%, 6: 13.7%, 7: 15.1%, 8: 27.6%, 9: 19.0%, 10: 5.4%",1.000
