Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
Tabula,schoolSize,SMP,0.015,-0.015,0.116,0.101
TapTap,schoolSize,SMP,0.026,-0.026,0.116,0.090
PredLLM,schoolSize,SMP,0.065,-0.065,0.116,0.051
TabSyn,schoolSize,SMP,0.024,0.024,0.116,0.140
TabDiff,schoolSize,SMP,0.017,-0.017,0.116,0.100
REaLTabFormer,schoolSize,SMP,0.025,0.025,0.116,0.141
CTGAN,schoolSize,SPI,0.010,0.010,0.018,0.029
GReaT,schoolSize,SPI,0.019,-0.019,0.018,-0.000
Tabula,schoolSize,SPI,0.200,-0.200,0.018,-0.181
TapTap,schoolSize,SPI,0.079,-0.079,0.018,-0.060
PredLLM,schoolSize,SPI,0.247,0.247,0.018,0.266
TabSyn,schoolSize,SPI,0.080,-0.080,0.018,-0.062
TabDiff,schoolSize,SPI,0.008,-0.008,0.018,0.011
REaLTabFormer,schoolSize,SPI,0.309,0.309,0.018,0.327
CTGAN,schoolSize,SMS,0.045,0.045,-0.057,-0.012
GReaT,schoolSize,SMS,0.039,-0.039,-0.057,-0.096
Tabula,schoolSize,SMS,0.027,0.027,-0.057,-0.030
TapTap,schoolSize,SMS,0.097,0.097,-0.057,0.040
PredLLM,schoolSize,SMS,0.089,0.089,-0.057,0.032
TabSyn,schoolSize,SMS,0.011,0.011,-0.057,-0.046
TabDiff,schoolSize,SMS,0.013,-0.013,-0.057,-0.070
REaLTabFormer,schoolSize,SMS,0.042,0.042,-0.057,-0.015
